name,UUID,category,cmui_swatch,in_mix_mode,in_clamp,in_invert,in_debug,in_k1_mode,in_k1_color,in_k1_hcl_offset,in_g1_interp_mode,in_g1_staircase_steps,in_g1_chroma_boost,in_g1_lightness_boost,in_k2_enabled,in_k2_position,in_k2_mode,in_k2_color,in_k2_hcl_offset,in_g2_interp_mode,in_g2_staircase_steps,in_g2_chroma_boost,in_g2_lightness_boost,in_k3_enabled,in_k3_position,in_k3_mode,in_k3_color,in_k3_hcl_offset,in_g3_interp_mode,in_g3_staircase_steps,in_g3_chroma_boost,in_g3_lightness_boost,in_k4_mode,in_k4_color,in_k4_hcl_offset
Defaults,ColL-001,Gradient,Swatch-Torus,1,1,0,0,0,0.833 0.59 0.63,0.0 0.0 0.0,0,1,0.0,0.0,0,0.33,1,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.66,1,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,1,0.0 0.0 0.0,180.0 0.0 0.0
Gradient - Analogous,ColL-001,Gradient,Swatch-Torus,1,1,0,0,1,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.33,1,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.66,1,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,1,0.0 0.0 0.0,60.0 0.0 0.0
Gradient - Bright Burn,ColL-001,Gradient,Swatch-Torus,0,1,0,0,1,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.33,1,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.66,1,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,1,0.0 0.0 0.0,30.0 -0.1 1.0
Gradient - Complements,ColL-001,Gradient,Swatch-Torus,0,1,0,0,1,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.33,1,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.66,1,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,1,0.0 0.0 0.0,-180.0 0.0 0.0
Gradient - Dark Burn,ColL-001,Gradient,Swatch-Torus,1,1,0,0,1,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.33,1,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.66,1,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,1,0.0 0.0 0.0,30.0 0.1 -1.0
Gradient - Heat Map,ColL-001,Gradient,Swatch-Torus,1,1,0,0,0,0.227 0.531 0.986,0.0 0.0 0.0,0,1,0.0,0.0,0,0.33,1,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.66,1,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,1,0.0 0.0 0.0,-240.0 0.0 0.0
Gradient - Split-Complementary,ColL-001,Gradient,Swatch-Torus,0,1,0,0,1,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,1,0.5,1,0.0 0.0 0.0,150.0 0.0 0.0,0,1,0.0,0.0,0,0.66,1,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,1,0.0 0.0 0.0,60.0 0.0 0.0
Gradient - Square,ColL-001,Gradient,Swatch-Torus,0,1,0,0,1,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,1,0.33,1,0.0 0.0 0.0,90.0 0.0 0.0,0,1,0.0,0.0,1,0.66,1,0.0 0.0 0.0,90.0 0.0 0.0,0,1,0.0,0.0,1,0.0 0.0 0.0,90.0 0.0 0.0
Gradient - Tetradic,ColL-001,Gradient,Swatch-Torus,0,1,0,0,1,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,1,0.33,1,0.0 0.0 0.0,30.0 0.0 0.0,0,1,0.0,0.0,1,0.66,1,0.0 0.0 0.0,150.0 0.0 0.0,0,1,0.0,0.0,1,0.0 0.0 0.0,30.0 0.0 0.0
Gradient - Triad,ColL-001,Gradient,Swatch-Torus,0,1,0,0,1,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,1,0.5,1,0.0 0.0 0.0,120.0 0.0 0.0,0,1,0.0,0.0,0,0.66,1,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,1,0.0 0.0 0.0,120.0 0.0 0.0
Gradient - To White,ColL-001,Gradient,Swatch-Torus,0,1,0,0,1,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.33,1,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.66,1,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,1.0 1.0 1.0,0.0 0.0 0.0
Gradient - To Black,ColL-001,Gradient,Swatch-Torus,0,1,0,0,1,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.33,1,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.66,1,0.0 0.0 0.0,0.0 0.0 0.0,0,1,0.0,0.0,0,0.0 0.0 0.0,0.0 0.0 0.0
